Mercury,,,,,
Ultra Violet,UV,ultraviolet,Ultra-violet,,
Elephant,,,,,
Sikhism,sikh,,,,
Indian Ocean,,,,,
Tibet,,,,,
O-,O negative,O-ve,O -ve,,
Retina,,,,,
Vijay Rupani,,,,,
Mango,mangoes,,,,
Lake Superior,superior lake,superior,,,
Potassium,,,,,
Computer,,,,,
Rajasthan,,,,,
china,,,,,
Rajendra Prasad,,,,,
Second,2nd,two,2,,
Banana,,,,,
Ghana,,,,,
Europe,,,,,
California,,,,,
china,,,,,
Ohm,,,,,
nitrogen,,,,,
Venus,,,,,
Honey,,,,,
A tree,tree,,,,
Sea horse,seahorse,,,,
Frog,,,,,
Kiwi,,,,,
nitrogen,,,,,
Spleen,,,,,
Silver,,,,,
Marie Curie,curie,madam curie,,,
Gautama Buddha,Buddha,Lord Buddha,Gautam Buddha,,
Violin,,,,,
The Great Wall of China,Great Wall of China,Wall of China,Wall,Great Wall,The Great Wall
Sri Lanka,srilanka,,,,
Diamond,,,,,
Anemometer,,,,,
Mohammed,mohammad,muhammed,muhammad,,
Poppy seeds,,,,,
New Zealand,newzealand,,,,
Eyes,Eye,,,,
Dominican Republic,,,,,
Onion,,,,,
Venezuela,,,,,
Deafness,deaf,,,,
Bat,bats,,,,
Thyroid,,,,,
